"provision_id","source_type","part_chapter","article_section","title","verbatim_text_excerpt","simplified_explanation","keywords","landmark_case_1","lc1_year","lc1_holding_summary","landmark_case_2","lc2_year","lc2_holding_summary","upsc_relevance","category"
"IND-042","Constitution","Part XVIII - Emergency Provisions","Article 352","Proclamation of Emergency","If the President is satisfied that a grave emergency exists whereby the security of India or of any part of the territory thereof is threatened, whether by war or external aggression or armed rebellion, he may, by Proclamation, make a declaration to that effect","National Emergency can be proclaimed when India's security is threatened by war, external aggression, or armed rebellion. Post-44th Amendment: Cabinet must recommend in writing; Lok Sabha can revoke by simple majority; must be approved by 2/3 special majority of Parliament every 6 months.","National Emergency,Article 352,Armed Rebellion,War,44th Amendment,Cabinet Recommendation","Minerva Mills v. Union of India","1980","Emergency provisions subject to judicial review; Parliament cannot use emergency to abrogate basic structure","ADM Jabalpur v. Shivkant Shukla","1976","(Controversial) Fundamental Rights suspended during emergency — largely overruled","High","Emergency Provisions"
"IND-043","Constitution","Part XVIII - Emergency Provisions","Article 356","Provisions in case of failure of constitutional machinery in State","If the President, on receipt of a report from the Governor of a State or otherwise, is satisfied that the government of the State cannot be carried on in accordance with the provisions of this Constitution, the President may by Proclamation assume to himself all or any of the functions of the Government of that State","President's Rule imposed when a State's constitutional machinery fails. Governor's report is the basis. After 44th Amendment, must be approved by Parliament every 6 months (max 3 years). Post-S.R. Bommai judgment, it is subject to judicial review and the floor test.","President's Rule,Article 356,Governor's Report,State Emergency,44th Amendment","S.R. Bommai v. Union of India","1994","President's Rule subject to judicial review; imposed only when floor test proves loss of majority","Rameshwar Prasad v. Union of India","2006","President's Rule in Bihar was unconstitutional as it was imposed to prevent majority party from forming government","High","Emergency Provisions"
"IND-044","Constitution","Part XX - Amendment","Article 368","Power of Parliament to amend the Constitution and procedure therefor","Notwithstanding anything in this Constitution, Parliament may in exercise of its constituent power amend by way of addition, variation or repeal any provision of this Constitution in accordance with the procedure laid down in this Article","Parliament can amend the Constitution by special majority (2/3 of members present and voting + more than 50% of total membership). Some provisions also require ratification by half the state legislatures. But the basic structure of the Constitution cannot be amended.","Constitutional Amendment,Special Majority,Basic Structure,Constituent Power,State Ratification","Kesavananda Bharati v. State of Kerala","1973","Parliament cannot amend the basic structure of the Constitution","Minerva Mills v. Union of India","1980","Clauses 4 and 5 inserted in Article 368 by 42nd Amendment struck down for destroying basic structure","High","Constitutional Amendment"
"IND-045","Constitutional Amendment","Amendments","1st Amendment Act 1951","First Constitutional Amendment","Added Ninth Schedule to protect land reform laws from judicial review; added reasonable restrictions to Article 19; inserted Articles 31A and 31B","The very first amendment was passed to overcome Supreme Court judgments that struck down land reform legislation. It created the controversial Ninth Schedule — a 'protected zone' for laws where courts cannot strike them down for violating Fundamental Rights. Also added protective discrimination clause (Article 15(4)) in education.","Ninth Schedule,Land Reform,Protective Discrimination,Judicial Review,Fundamental Rights","I.R. Coelho v. State of Tamil Nadu","2007","Laws placed in Ninth Schedule after April 1973 are subject to judicial review if they violate basic structure","Shankari Prasad v. Union of India","1951","Constitutional amendments are not 'law' and hence not subject to Article 13","High","Constitutional Amendments"
"IND-046","Constitutional Amendment","Amendments","42nd Amendment Act 1976","Mini Constitution — 42nd Amendment","The most sweeping amendment passed during the Emergency. Added Fundamental Duties, DPSPs got precedence over Fundamental Rights, word 'Socialist' and 'Secular' added to Preamble, courts' jurisdiction restricted, Parliament's power to amend made unlimited","Called the 'Mini Constitution', it was passed during the Internal Emergency and made radical changes. Many provisions were later struck down by the Supreme Court in Minerva Mills (1980). It represents a period of constitutional stress and the danger of parliamentary overreach.","42nd Amendment,Emergency,Mini Constitution,Preamble,Socialist,Secular,Fundamental Duties","Minerva Mills v. Union of India","1980","Several provisions of 42nd Amendment struck down for destroying balance between Fundamental Rights and DPSPs","Indira Gandhi v. Raj Narain","1975","42nd Amendment was fallout of this case where PM's election was set aside by Allahabad HC","High","Constitutional Amendments"
"IND-047","Constitutional Amendment","Amendments","44th Amendment Act 1978","Restoration of Democratic Values — 44th Amendment","Reversed several Emergency-era changes: restored right to property as legal right (not Fundamental Right), required Cabinet's written advice before Presidential Emergency proclamation, restored right to life and personal liberty even during emergency, reduced term of Lok Sabha back to 5 years","Passed after the Emergency by the Janata government to undo the damage of the 42nd Amendment. Made Article 21 non-suspendable during emergency — a direct reversal of ADM Jabalpur. Removed right to property from Fundamental Rights and made it a constitutional right under Article 300A.","44th Amendment,Right to Property,Emergency Safeguards,Janata Government,Article 300A","Minerva Mills v. Union of India","1980","44th Amendment and its restorations of democratic balance upheld","People's Union for Civil Liberties v. Union of India","1997","Article 21's non-suspendability during emergency is a key democratic safeguard","High","Constitutional Amendments"
"IND-048","Constitutional Amendment","Amendments","73rd Amendment Act 1992","Panchayati Raj — 73rd Amendment","Added Part IX to the Constitution establishing a three-tier Panchayati Raj system (Gram Panchayat, Panchayat Samiti, Zila Parishad); mandated elections every 5 years; reserved 1/3 seats for women; created State Finance Commission and State Election Commission","Constitutionalised local self-government. Made elections to Panchayats mandatory with a 5-year term. Reserved seats for SC/ST proportional to population and 1/3 for women. Created parallel constitutional bodies — State Finance Commission (financial devolution) and State Election Commission (free elections).","73rd Amendment,Panchayati Raj,Local Self Government,Women Reservation,SC ST Reservation,State Finance Commission,State Election Commission","State of Bihar v. Bal Mukund Shah","2000","Panchayats have constitutional status but their powers come from state legislation","K. Krishna Murthy v. Union of India","2010","Reservation for backward classes in Panchayat elections valid under Article 243D","High","Constitutional Amendments - Local Government"
"IND-049","Constitutional Amendment","Amendments","74th Amendment Act 1992","Municipalities — 74th Amendment","Added Part IX-A to the Constitution establishing Urban Local Bodies; created 18 functional categories (12th Schedule) for municipalities; mandated State Election Commissions; reserved seats for women and backward classes in municipalities","Constitutionalised urban local self-government. Created Ward Committees for areas with 3 lakh or more population. Listed 18 functions in the 12th Schedule for municipalities including urban planning, regulation of land use, public health, and poverty alleviation.","74th Amendment,Urban Local Bodies,Municipalities,Ward Committees,12th Schedule,Urban Planning","Ahmedabad Municipal Corporation v. Nawab Khan Gulab Khan","1997","Municipalities have constitutional responsibility for urban governance but State can define scope","Delhi Municipal Corporation v. Shibu Nath Brahmin","2003","Functional autonomy of municipalities upheld within the framework of state law","High","Constitutional Amendments - Local Government"
"IND-050","Constitutional Amendment","Amendments","86th Amendment Act 2002","Right to Education — 86th Amendment","Inserted Article 21A (free and compulsory education for 6-14 years as Fundamental Right); amended Article 45 (DPSP for early childhood care); added Fundamental Duty under Article 51A(k) for parents to provide education to children","Made elementary education a Fundamental Right. Implemented through the Right to Education Act 2009 (RTE). The 25% reservation for disadvantaged children in private schools (Section 12(1)(c) of RTE) was upheld by the Supreme Court in 2012. Children below 6 are covered under the amended DPSP in Article 45.","86th Amendment,Right to Education,RTE Act,21A,Free Education,Fundamental Duty","Society for Unaided Private Schools v. Union of India","2012","25% RTE reservation in private unaided schools is constitutionally valid","Ashok Kumar Thakur v. Union of India","2008","RTE Act is constitutionally valid and implements Article 21A effectively","High","Constitutional Amendments - Education"
"IND-051","Statute","Major Central Legislations","RTI Act 2005","Right to Information Act 2005","Every citizen shall have the right to information and this Act may be called the Right to Information Act, 2005. The object of this Act is to empower the citizens, promote transparency and accountability in the working of the Government","Citizens can seek information from public authorities within 30 days (48 hours for life/liberty matters). Public authorities must maintain records and appoint Public Information Officers. Central and State Information Commissions adjudicate appeals. Exempt: national security, intelligence, Cabinet discussions, personal information.","RTI,Transparency,Public Information Officer,Central Information Commission,Exemptions,30 Days","CBSE v. Aditya Bandopadhyay","2011","RTI Act must be used to promote transparency; information that cannot be denied should not be denied","Girish Ramchandra Deshpande v. Central Information Commission","2012","Personal information of public servants related to their public duties is disclosable under RTI","High","Statutory Laws - Governance"
"IND-052","Statute","Major Central Legislations","IPC 1860","Indian Penal Code 1860 (now BNS 2023)","Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India","The IPC 1860 (now replaced by Bharatiya Nyaya Sanhita 2023 from July 2024) was the main criminal code of India. Defined offences from petty crimes to serious ones. Key chapters: General Exceptions (Chapter IV), Abetment (Chapter V), Sedition (Section 124A — struck down), Murder and Culpable Homicide, Rape, Theft, Cheating.","IPC,BNS,Criminal Law,Murder,Culpable Homicide,Sedition,General Exceptions","K.M. Nanavati v. State of Maharashtra","1962","Landmark murder case; distinguished culpable homicide from murder","S. Khushboo v. Kanniammal","2010","Criminal law cannot be used to stifle free speech on moral issues","High","Statutory Laws - Criminal"
"IND-053","Statute","Major Central Legislations","CrPC 1973 / BNSS 2023","Code of Criminal Procedure 1973 (now BNSS 2023)","The Code provides for the mechanism for enforcement of criminal law. It lays down the procedural framework for investigation, trial, and sentencing.","CrPC 1973 (replaced by Bharatiya Nagarik Suraksha Sanhita 2023 from July 2024) provides the procedure for criminal cases. Key provisions: FIR (Section 154), Bail (Sections 436-439), Charge Sheet (Section 173), Plea Bargaining (Chapter XXI-A), Anticipatory Bail (Section 438), 0-day detention limit.","CrPC,BNSS,FIR,Bail,Anticipatory Bail,Charge Sheet,Trial,Criminal Procedure","Arnab Manoranjan Goswami v. State of Maharashtra","2020","Liberty under Article 21 and bail provisions must be interpreted broadly","Satender Kumar Antil v. CBI","2022","Default bail right is inviolable; courts must grant bail if charge sheet not filed in time","High","Statutory Laws - Criminal Procedure"
"IND-054","Statute","Major Central Legislations","Constitution of India Schedule VII","Seventh Schedule — Legislative Lists","The Seventh Schedule contains three Lists: Union List (List I - 98 subjects), State List (List II - 59 subjects), and Concurrent List (List III - 52 subjects) dividing legislative subjects between Parliament and State Legislatures","The Union List has subjects of national importance (defence, banking, foreign affairs, atomic energy). The State List has local subjects (police, agriculture, land). The Concurrent List has subjects where both can legislate but Centre prevails in case of conflict (under Article 254). Residuary power with Parliament.","Union List,State List,Concurrent List,Legislative Subjects,Residuary Power,Article 254","M. Karunanidhi v. Union of India","1979","Repugnancy between Centre and State laws resolved by Article 254; Presidential assent to State law protects it","State of Rajasthan v. G. Chawla","1959","Pith and substance doctrine used to determine which list a law falls in","High","Centre-State Legislative Relations"
"IND-055","Statute","Major Central Legislations","GST Constitutional Amendment 101st","101st Constitutional Amendment Act 2016 — GST","Parliament may, by law, on the recommendation of the Goods and Services Tax Council, provide for compensation to the States for loss of revenue arising on account of implementation of the goods and services tax","The 101st Amendment inserted Articles 246A, 269A, and 279A to implement GST. Article 246A gives both Parliament and State legislatures concurrent power to tax goods and services. The GST Council (Article 279A) with Union and State finance ministers determines GST rates. Abolished CST, Service Tax, VAT, etc.","GST,101st Amendment,GST Council,Indirect Tax,One Nation One Tax,Article 246A","Union of India v. Mohit Mineral Pvt Ltd","2022","GST Council recommendations are not binding; Centre and States retain legislative autonomy under Article 246A","Unicorn Industries v. Union of India","2019","GST structure does not violate fiscal federalism","High","Statutory Laws - Taxation"
"IND-056","Statute","Major Central Legislations","Forest Rights Act 2006","Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forest Rights) Act 2006","The Act recognises and vests the forest rights and occupation in forest land in forest dwelling Scheduled Tribes and other traditional forest dwellers who have been residing in such forests for generations but whose rights could not be recorded","Recognizes pre-existing rights of STs and other traditional forest dwellers over forest land they have been using. Rights include right to live, cultivate, use minor forest produce, protect community forest resources. Gram Sabha is the key authority for recognizing rights. Overcomes colonial-era forest laws.","Forest Rights,Tribal Rights,Gram Sabha,Minor Forest Produce,Traditional Forest Dwellers","Orissa Mining Corporation v. Ministry of Environment & Forest","2013","Mining in scheduled areas requires Gram Sabha consent under Forest Rights Act","Wildlife First & Ors v. Ministry of Forest & Climate Change","2019","SC stayed evictions of forest dwellers pending rejection of forest rights claims by states","High","Statutory Laws - Environment and Tribal Rights"
"IND-057","Statute","Major Central Legislations","POCSO Act 2012","Protection of Children from Sexual Offences Act 2012","The Act was enacted to protect children from offences of sexual assault, sexual harassment and pornography and provide for establishment of Special Courts for trial of such offences","POCSO protects children (below 18) from sexual offences. Defines aggravated sexual assault, sexual harassment, and use of children in pornography. Mandates Special Courts for speedy trial. Creates obligation to report child sexual abuse. Child-friendly procedures for victim testimony. Strict punishments.","POCSO,Child Sexual Abuse,Special Court,Mandatory Reporting,Child Victim,Child Protection","Alakh Alok Srivastava v. Union of India","2018","Supreme Court suo motu directed expeditious POCSO trials and monitoring","State of Maharashtra v. Bhikhari Paswan","2021","POCSO must be interpreted broadly to protect all children regardless of gender","High","Statutory Laws - Child Protection"
"IND-058","Statute","Major Central Legislations","Environment Protection Act 1986","Environment (Protection) Act 1986","The Central Government shall have the power to take all such measures as it deems necessary or expedient for the purpose of protecting and improving the quality of the environment and preventing, controlling and abating environmental pollution","Umbrella legislation for environmental protection enacted after Bhopal Gas Tragedy. Empowers the Centre to set environmental standards, conduct inspections, and close polluting industries. EIA (Environmental Impact Assessment) notifications are issued under this Act. Also source of Polluter Pays and Precautionary Principles.","Environment Protection,Pollution Control,EIA,Bhopal,Polluter Pays,Precautionary Principle","M.C. Mehta v. Union of India","1987","Absolute Liability principle — industries engaged in hazardous activities absolutely liable for harm caused","Vellore Citizens Welfare Forum v. Union of India","1996","Precautionary Principle and Polluter Pays Principle are part of Indian environmental law","High","Statutory Laws - Environment"
"IND-059","Statute","Major Central Legislations","PESA Act 1996","Panchayats (Extension to Scheduled Areas) Act 1996","The Act extends the provisions of Part IX of the Constitution relating to Panchayats to the Scheduled Areas with certain modifications and exceptions","PESA extends Panchayati Raj to Fifth Schedule (tribal) areas with special protections for tribal autonomy. Gram Sabha has primacy in tribal areas — must be consulted for land acquisition, minor forest produce management, and social sector schemes. Intended to prevent exploitation and protect tribal customs.","PESA,Scheduled Areas,Fifth Schedule,Tribal,Gram Sabha,Traditional Rights,Land Acquisition","Samantha v. State of AP","1997","Tribal land cannot be leased to non-tribal private companies even for industry; government is trustee of tribal land","Nandini Sundar v. State of Chhattisgarh","2011","State cannot use tribal vigilantes (Salwa Judum); PESA and Fifth Schedule must be respected","High","Statutory Laws - Tribal Governance"
"IND-060","Statute","Major Central Legislations","Representation of People Act 1951","Representation of the People Act 1951","The qualifications and disqualifications for membership of Parliament and State Legislatures and the corrupt practices and other offences at or in connection with such elections shall be as provided by or under any law made by Parliament","Governs elections, electoral rolls, qualifications/disqualifications of candidates, and election disputes. Key sections: Section 8 (disqualification on conviction), Section 123 (corrupt practices), Section 33A (disclosure of criminal antecedents). Under Article 102/191, disqualification includes office of profit, unsound mind, citizenship, etc.","RPA 1951,Election Law,Corrupt Practices,Disqualification,Electoral Roll,Dispute Resolution","Association for Democratic Reforms v. Union of India","2002","Candidates must disclose criminal antecedents, assets, and educational qualifications","Public Interest Foundation v. Union of India","2018","Parliament must consider passing law to permanently bar convicted persons from elections","High","Statutory Laws - Elections"
"IND-061","Statute","Major Central Legislations","Anti-Defection Law 10th Schedule","Tenth Schedule — Anti-Defection Law","A member of a House belonging to any political party shall be disqualified for being a member of the House if he has voluntarily given up his membership of such political party","Added by 52nd Amendment 1985 to prevent political defections. A legislator is disqualified if they voluntarily give up party membership or vote against party whip without permission. Merger of 2/3 members (post-91st Amendment 2003) into another party is not a defection. Speaker/Chairman decides disqualification but this is subject to judicial review.","Anti-Defection,10th Schedule,Whip,Voluntary Giving Up,Merger,Speaker,Disqualification","Kihoto Hollohan v. Zachillhu","1992","10th Schedule is constitutional; Speaker's decision is subject to judicial review","Nabam Rebia v. Deputy Speaker Arunachal Pradesh","2016","Speaker cannot decide disqualification petitions while facing a no-confidence motion","High","Parliament - Anti-Defection"
"IND-062","Statute","Major Central Legislations","National Green Tribunal Act 2010","National Green Tribunal Act 2010","There shall be established, by the Central Government, by notification, a tribunal to be known as the National Green Tribunal for the effective and expeditious disposal of cases relating to environmental protection and conservation of forests and other natural resources","NGT is a specialized quasi-judicial body for environmental disputes. Has original jurisdiction for substantial questions relating to environment. Can award compensation and give relief in cases of environmental damage. Applies the Precautionary and Polluter Pays Principles. Benches at major cities.","NGT,National Green Tribunal,Environmental Disputes,Compensation,Precautionary Principle,Specialized Tribunal","Braj Foundation v. State of UP","2017","NGT has jurisdiction over all environmental matters; cannot be ousted by state legislation","M.K. Ranjitsinh v. Union of India","2021","NGT should be strengthened for effective environmental justice; SC expanded scope of climate rights","High","Statutory Laws - Environment"
"IND-063","Statute","Major Central Legislations","IBC 2016","Insolvency and Bankruptcy Code 2016","The Code provides for reorganisation and insolvency resolution of corporate persons, partnership firms and individuals in a time bound manner for maximisation of value of assets of such persons","IBC provides for corporate insolvency resolution within 180+90 days through Committee of Creditors. Liquidation if resolution fails. National Company Law Tribunal (NCLT) adjudicates corporate insolvency. Debt Recovery Tribunal (DRT) for individuals. Resolution applicant submits plan approved by 66% of Committee of Creditors.","IBC,Insolvency,Bankruptcy,NCLT,CIRP,Committee of Creditors,Resolution Plan","Swiss Ribbons Pvt Ltd v. Union of India","2019","IBC's classification of financial and operational creditors is constitutionally valid","Committee of Creditors of Essar Steel v. Satish Kumar Gupta","2019","Resolution plan must equitably distribute value; NCLT cannot rewrite commercial decision of Committee of Creditors","High","Statutory Laws - Commercial"
"IND-064","Statute","Major Central Legislations","NDMA Act 2005","Disaster Management Act 2005","For the purpose of this Act, 'disaster' means a catastrophe, mishap, calamity or grave occurrence in any area, arising from natural or man-made causes, or by accident or negligence which results in substantial loss of life or human suffering or damage to, and destruction of, property","Established the National Disaster Management Authority (NDMA) chaired by the Prime Minister. Created the institutional framework for disaster preparedness, response, and mitigation. State Disaster Management Authorities and District Disaster Management Authorities form the three-tier structure. NDRF is the dedicated disaster response force.","NDMA,Disaster Management,DM Act,NDRF,State SDMA,National Disaster","Re: Cognizance for Extension of Limitation (COVID-19)","2020","NDMA Act invoked during COVID-19 to extend limitation periods; force majeure provisions recognized","Gaurav Kumar Bansal v. Union of India","2021","NDMA must use its powers to ensure equitable access to oxygen and COVID-19 relief","High","Statutory Laws - Disaster Management"
"IND-065","Constitutional Doctrine","Basic Structure","Doctrine Overview","Basic Structure Doctrine","Parliament's amending power under Article 368, though wide, cannot be used to damage or destroy the basic structure or essential features of the Constitution. These basic features include supremacy of the Constitution, republican and democratic form of government, secular character, separation of powers, and federal character.","The Basic Structure Doctrine, evolved in Kesavananda Bharati (1973), limits Parliament's power to amend the Constitution. Neither Parliament nor State legislatures can abridge, alter or destroy the basic structure. It is a judge-made doctrine not found in the text of the Constitution. It protects democracy from constitutional authoritarianism.","Basic Structure,Kesavananda Bharati,Constitutional Amendment,Judicial Review,Democracy,Federalism,Secularism","Kesavananda Bharati v. State of Kerala","1973","13-judge bench held that basic structure of Constitution is inviolable even by constitutional amendment","Minerva Mills v. Union of India","1980","Harmony between Fundamental Rights and DPSPs is part of basic structure; Articles 14 and 19 form its core","High","Constitutional Doctrines"
"IND-066","Constitutional Doctrine","Writ Jurisdiction","Doctrine of Habeas Corpus","Habeas Corpus — You may have the body","A writ of habeas corpus is a court order directing an authority holding a person in custody to produce the person before the court so the court can determine whether the detention is lawful or not. It is the primary safeguard against illegal detention and imprisonment.","'Habeas Corpus' means 'you shall have the body'. It is the most important writ to protect personal liberty. Petition can be filed by detainee or anyone on their behalf. Courts will scrutinize whether arrest was under valid authority, procedure followed, and if continued detention is justified. Cannot be suspended even during emergencies (post-44th Amendment).","Habeas Corpus,Illegal Detention,Personal Liberty,Article 21,Writ Jurisdiction","ADM Jabalpur v. Shivkant Shukla","1976","(Wrongly decided) Habeas Corpus can be suspended during emergency — overruled by KS Puttaswamy","D.K. Basu v. State of West Bengal","1997","Habeas Corpus includes protection against custodial torture; detailed arrest guidelines issued","High","Constitutional Doctrines - Writs"
"IND-067","Constitutional Doctrine","Writ Jurisdiction","Doctrine of Mandamus","Mandamus — We Command","A writ of mandamus is a court order commanding a public authority, tribunal, corporation, or inferior court to perform a public or statutory duty it has refused or failed to perform, or to refrain from acting unlawfully.","'Mandamus' means 'we command'. Issued against public bodies that fail to perform a mandatory public duty. Cannot be issued against: private individuals, President or Governor for discretionary acts, or where alternative remedy exists. The body must have a legal duty and petitioner a legal right to its performance.","Mandamus,Public Duty,Statutory Duty,Public Authority,Performance","Rai Shivendra Bahadur v. Board of Governors NIT Jamshedpur","1962","Mandamus lies to compel performance of public duty by educational institutions","S.P. Gupta v. Union of India","1981","Mandamus can issue to direct appointment of judges as per collegium recommendations","High","Constitutional Doctrines - Writs"
"IND-068","Constitutional Doctrine","Separation of Powers","Doctrine of Separation of Powers","Separation of Powers in Indian Constitution","India follows a modified separation of powers — the three organs (Legislature, Executive, Judiciary) have defined roles, and each has checks and balances over the other. Courts can strike down executive actions and legislation. Parliament can remove judges and amend the Constitution. The Executive controls Parliament's agenda.","India does not have strict separation of powers as in the US. The President/Governor executes on ministerial advice; Parliament passes laws; Courts interpret. Checks and balances are provided through judicial review, Parliamentary accountability, President's assent, etc. Basic structure doctrine is the most powerful check on legislative supremacy.","Separation of Powers,Checks and Balances,Judicial Review,Legislature,Executive,Judiciary","Ram Jawaya Kapur v. State of Punjab","1955","Indian Constitution does not adopt strict separation of powers; each organ has some overlap","I.C. Golak Nath v. State of Punjab","1967","Judicial power to invalidate constitutional amendments is the ultimate check on parliamentary power","High","Constitutional Doctrines"
"IND-069","Constitutional Doctrine","Federalism","Indian Federalism — Features","Quasi-Federal Nature of Indian Constitution","India has a federal structure with a strong Centre. Federal features: Written Constitution, rigid amendment procedure, independent judiciary, two houses in Parliament, Seventh Schedule distribution. Unitary features: Single Constitution, single citizenship, emergency provisions, All India Services, Centre's residuary powers, power to alter state boundaries.","India's federalism is called 'quasi-federal' or 'federal with strong unitary features' (K.C. Wheare). During normal times it works as a federation; during emergencies it becomes more unitary. The holding in SR Bommai upheld federalism as a basic feature of the Constitution. Cooperative federalism is now emphasized through GST Council, NITI Aayog, etc.","Federalism,Quasi-Federal,Unitary Features,Centre-State,Cooperative Federalism,SR Bommai","S.R. Bommai v. Union of India","1994","Federalism is a basic feature of the Constitution; President's Rule must not be imposed to destabilize democratically elected governments","State of West Bengal v. Union of India","1962","Indian federation is not a compact between States; States cannot challenge federal laws on sovereignty grounds","High","Constitutional Doctrines"
"IND-070","Statute","Major Central Legislations","Prevention of Money Laundering Act 2002","PMLA 2002","Whosoever directly or indirectly attempts to indulge or knowingly assists or knowingly is a party or is actually involved in any process or activity connected proceeds of crime and projecting it as untainted property shall be guilty of offence of money laundering","PMLA criminalizes money laundering — conversion of 'proceeds of crime' into clean assets. Enforcement Directorate investigates. Conviction of scheduled offence is necessary. ED can attach properties provisionally. Stringent bail conditions: accused must prove they are not guilty and won't commit offence again (twin test). Adjudicating Authority and Appellate Tribunal for appeals.","PMLA,Money Laundering,Enforcement Directorate,Attachment,Proceeds of Crime,Twin Test Bail","Vijay Madanlal Choudhary v. Union of India","2022","PMLA's wide powers of arrest, search, seizure and bail conditions are constitutionally valid","Y. Balaji v. Karthik Desari","2023","PMLA must be applied strictly within its scope; cannot be used to harass","High","Statutory Laws - Criminal Economic"
"IND-071","Constitutional Doctrine","Judicial Review","Doctrine of Proportionality","Proportionality in Constitutional Law","Proportionality requires that the means chosen by the State must be suitable to achieve the legitimate aim, necessary (least restrictive alternative available), and proportionate in balance (benefits must not be outweighed by harms to rights). It is the global standard for rights adjudication.","Proportionality replaces the older 'reasonableness' test. Courts now ask: Is the state's aim legitimate? Is the measure suitable? Is it necessary (is there a less restrictive alternative)? Is it proportionate (do the benefits outweigh the rights violation)? Applied in Article 19, 21, and Article 14 challenges.","Proportionality,Judicial Review,Least Restrictive,Balancing Test,Rights Adjudication","Modern Dental College v. State of MP","2016","Four-stage proportionality test adopted from comparative constitutional law","KS Puttaswamy v. Union of India (Aadhaar)","2018","Proportionality test applied rigorously to data protection and privacy restrictions","High","Constitutional Doctrines - Judicial Review"
"IND-072","Constitutional Development","Recent Developments","Article 370 Abrogation 2019","Abrogation of Article 370 and Reorganisation of J&K","The Constitution (Application to Jammu and Kashmir) Order 2019 operationalised Article 370(3) to abrogate all special provisions for Jammu & Kashmir. The J&K Reorganisation Act 2019 bifurcated the State into two Union Territories — J&K (with legislature) and Ladakh (without legislature)","Article 370 gave special status to J&K allowing it to have its own Constitution and limiting Parliament's jurisdiction. In August 2019, the President issued an order extending all provisions of the Indian Constitution to J&K and effectively abrogating Article 370. The State was simultaneously bifurcated into two UTs under Article 3.","Article 370,Special Status,Jammu Kashmir,Abrogation,Reorganisation,Union Territory,Ladakh","In Re Article 370 of the Constitution","2023","SC upheld abrogation of Article 370; J&K did not have internal sovereignty; statehood to be restored at appropriate time","Prem Nath Kaul v. State of J&K","1959","Article 370 was a transitional provision; constituent assembly of J&K had limited role","High","Constitutional Developments"
"IND-073","Constitutional Development","Recent Developments","Transgender Persons Act 2019","Transgender Persons (Protection of Rights) Act 2019","A transgender person shall have a right to be recognised as such and every transgender person who has been recognised shall have a right to self-perceived gender identity","India's first comprehensive law protecting transgender persons. Prohibits discrimination in education, employment, healthcare. Recognises right to self-identified gender. Mandates certificate of identity. However, criticized for mandatory medical certification for 'male' or 'female' recognition and inadequate penal provisions.","Transgender,Gender Identity,Self-Identification,LGBTQ,Discrimination Protection","National Legal Services Authority v. Union of India","2014","Transgender persons have right to self-identify their gender; are third gender with all constitutional rights","Navtej Singh Johar v. Union of India","2018","Section 377 IPC decriminalized; sexual orientation and gender identity protected under Articles 14, 15, 19, 21","High","Statutory Laws - Social Justice"
"IND-074","Statute","Major Central Legislations","Digital Personal Data Protection Act 2023","Digital Personal Data Protection Act 2023","A Data Principal shall have a right to obtain from a Data Fiduciary a summary of the personal data being processed; to know the identities of all other Data Fiduciaries and Data Processors with whom the personal data has been shared","India's first comprehensive data protection law implementing the right to privacy under Article 21. Requires consent for processing personal data. Data Principals (individuals) have rights to access, correction, erasure, and grievance redressal. Data Protection Board adjudicates complaints. Significant financial penalties for breaches.","DPDP Act,Data Protection,Personal Data,Consent,Data Principal,Data Fiduciary,Privacy","KS Puttaswamy v. Union of India","2017","Right to Privacy is a Fundamental Right; data protection legislation is constitutionally mandated","Justice Srikrishna Committee Report","2018","Foundational report that recommended data protection framework eventually enacted as DPDP 2023","High","Statutory Laws - Digital"
"IND-075","Constitutional Doctrine","Election Law","Model Code of Conduct","Model Code of Conduct — Constitutional Basis","The Model Code of Conduct (MCC) is a set of guidelines issued by the Election Commission of India for the conduct of political parties and candidates during elections. It comes into force from the date of announcement of election schedule.","The MCC has no statutory basis but derives its force from Article 324 (Election Commission's superintendence, direction, and control of elections). It prohibits use of government machinery and resources for election campaigning, communal appeals, and bribery. The Election Commission enforces it through moral and constitutional authority. Violators face derecognition, candidate disqualification.","Model Code of Conduct,Election Commission,Article 324,Free and Fair Elections,Government Machinery","T.N. Seshan v. Union of India","1995","Election Commission has wide powers under Article 324 to ensure free and fair elections including enforcement of MCC","Union of India v. Association for Democratic Reforms","2002","Election Commission can direct disclosure of criminal and financial background of candidates","High","Election Law"
